Object Number,file name(s),Box number,Folder number,Extent,Title of resource,Accession number,TMS Object ID,Creator/photographer/artist,LCNAF URI,TMS Constituent ID,Role (Relator),Relator Code,Type of Resource,Date YYYY-MM-DD,Location ,TGN ID,Language,ISO 639-2 code,Format,AAT ID,Description/Misc.,Rights information,Digital Origin,Internet Media type,Collection,Finding Aid,Physical Location
JGJ_B018_F010_003,JGJ_B018_F010_003_r,Box 18,Folder 10,1 photograph,"Portrait of Margaret Urmiller, née Schwab, and Her Daughter",Cat. 728,102538,Barthel Beham,http://id.loc.gov/authorities/names/nr91026284,16018,Artist,art,still image,circa 1525,Nuremberg,7004334,,,photographic prints,"300127104
  
","Photograph of painting: Portrait of Margaret Urmiller, née Schwab, and Her Daughter by Barthel Beham.",No copyright.,reformatted digital,image/jpeg,John G. Johnson Papers,http://pmalibrary.libraryhost.com/repositories/3/resources/245,"Philadelphia Museum of Art, Library & Archives."
JGJ_B010_F003_001,JGJ_B010_F003_001_r,Box 10,Folder 3,1 photograph,John G. Johnson facing front,,,Haeseler Photographic Studios,,,Photographer,pht,still image,circa 1907,Philadelphia,7014406,,,photographic prints,"300127104
  
",Photograph of John G. Johnson facing front. ,No copyright.,reformatted digital,image/jpeg,John G. Johnson Papers,http://pmalibrary.libraryhost.com/repositories/3/resources/245,"Philadelphia Museum of Art, Library & Archives."
